"Menu","Submenu","Menuitem","MVC","Action"
"Organisaties","","Nieuwe organisatie","organisation",""
"Organisaties","","Organisaties (lijst)","organisation","list",""
"Personen","","Nieuwe persoon","person",""
"Personen","","Personen (lijst)","person","list"
"Rekeningen","","Nieuwe rekening","account",""
"Rekeningen","","Rekeningen (lijst)","account","list"
"Rekeningen","","Nieuwe rekening courant","current_account",""
"Rekeningen","","Rekeningen courant","current_account","list"
"Configuratie","","Import","import",""
"Configuratie","","Nieuw land","country",""
"Configuratie","","Landen (lijst)","country","list"
"Contactpersonen","","Snelle input contactpersoon","customer_input",""
"Contactpersonen","","Nieuwe contactpersoon","customer",""
"Contactpersonen","","Contactpersonen (lijst)","customer","list"
"Contactpersonen","","Nieuwe contactorganisatie","customer_organisation",""
"Contactpersonen","","Contactorganisaties (lijst)","customer_organisation","list"
